START OF TRACE: 19-Sep-2017 12:21:29.767 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
21:34.423   15             27392     27392    :   RecoveryTestThread.LoopForever
21:34.451   15             26812     26812    :   RecoveryTestThread.LoopForever
21:34.477   15             27083     27083    :   RecoveryTestThread.LoopForever
21:34.504   15             26722     26722    :   RecoveryTestThread.LoopForever
21:34.531   15             26872     26872    :   RecoveryTestThread.LoopForever
21:34.558   15             26778     26778    :   RecoveryTestThread.LoopForever
21:34.585   15             27898     27898    :   RecoveryTestThread.LoopForever
21:34.613   15             31000     31000    :   RecoveryTestThread.LoopForever
21:34.644   15             27318     27318    :   RecoveryTestThread.LoopForever
21:34.671   15             27113     27113    :   RecoveryTestThread.LoopForever
21:34.698   15             27367     27367    :   RecoveryTestThread.LoopForever
21:34.726   15             27173     27173    :   RecoveryTestThread.LoopForever
21:34.753   15             26903     26903    :   RecoveryTestThread.LoopForever
21:34.780   15             27338     27338    :   RecoveryTestThread.LoopForever
21:34.807   15             29821     29821    :   RecoveryTestThread.LoopForever
21:34.837   15             29742     29742    :   RecoveryTestThread.LoopForever
21:34.866   15             27373     27373    :   RecoveryTestThread.LoopForever
21:34.894   15             27159     27159    :   RecoveryTestThread.LoopForever
21:34.921   15             26905     26905    :   RecoveryTestThread.LoopForever
21:34.948   15             26895     26895    :   RecoveryTestThread.LoopForever
21:34.975   15             26919     26919    :   RecoveryTestThread.LoopForever
21:35.002   15             26655     26655    :   RecoveryTestThread.LoopForever
21:35.028   15             28811     28811    :   RecoveryTestThread.LoopForever
21:35.057   15             30313     30313    :   RecoveryTestThread.LoopForever
21:35.088   15             27815     27815    :   RecoveryTestThread.LoopForever
21:35.115   15             27193     27193    :   RecoveryTestThread.LoopForever
21:35.143   15             26816     26816    :   RecoveryTestThread.LoopForever
21:35.169   15             26869     26869    :   RecoveryTestThread.LoopForever
21:35.196   15             27180     27180    :   RecoveryTestThread.LoopForever
21:35.223   15             26728     26728    :   RecoveryTestThread.LoopForever
21:35.250   15             29691     29691    :   RecoveryTestThread.LoopForever
21:35.280   15             29579     29579    :   RecoveryTestThread.LoopForever
21:35.309   15             27954     27954    :   RecoveryTestThread.LoopForever
21:35.337   15             27061     27061    :   RecoveryTestThread.LoopForever
21:35.364   15             26980     26980    :   RecoveryTestThread.LoopForever
21:35.391   15             26989     26989    :   RecoveryTestThread.LoopForever
21:35.418   15             26919     26919    :   RecoveryTestThread.LoopForever
21:35.445   15             26936     26936    :   RecoveryTestThread.LoopForever
21:35.472   15             30000     30000    :   RecoveryTestThread.LoopForever
21:35.502   15             28874     28874    :   RecoveryTestThread.LoopForever
21:35.531   15             27500     27500    :   RecoveryTestThread.LoopForever
21:35.559   15             27005     27005    :   RecoveryTestThread.LoopForever
21:35.586   15             26964     26964    :   RecoveryTestThread.LoopForever
21:35.613   15             27347     27347    :   RecoveryTestThread.LoopForever
21:35.640   15             27474     27474    :   RecoveryTestThread.LoopForever
21:35.667   15             27538     27538    :   RecoveryTestThread.LoopForever
21:35.695   15             31283     31283    :   RecoveryTestThread.LoopForever
21:35.726   15             29396     29396    :   RecoveryTestThread.LoopForever
21:35.756   15             27779     27779    :   RecoveryTestThread.LoopForever
21:35.783   15             27699     27699    :   RecoveryTestThread.LoopForever
21:35.811   15             27972     27972    :   RecoveryTestThread.LoopForever
21:35.839   15             27381     27381    :   RecoveryTestThread.LoopForever
21:35.866   15             27143     27143    :   RecoveryTestThread.LoopForever
21:35.894   15             27399     27399    :   RecoveryTestThread.LoopForever
21:35.921   15             31934     31934    :   RecoveryTestThread.LoopForever
21:35.953   15             27973     27973    :   RecoveryTestThread.LoopForever
21:35.981   15             27685     27685    :   RecoveryTestThread.LoopForever
21:36.009   15             27070     27070    :   RecoveryTestThread.LoopForever
21:36.036   15             27479     27479    :   RecoveryTestThread.LoopForever
21:36.063   15             27215     27215    :   RecoveryTestThread.LoopForever
21:36.090   15             27125     27125    :   RecoveryTestThread.LoopForever
21:36.117   15              3872      3872    :   RecoveryTestThread.LoopForever
21:36.118   15                 8         5    :   :   :   :   :   Thread.ExitSwLog
21:36.118   15                 3         3    :   :   :   :   :   : Thread.RunningThread
21:36.118   15              2340         0    :   :   :   : SignalException.ctor
21:36.118   15              2340         4    :   :   :   :   Exception.ctor
21:36.118   15                11         4    :   :   :   :   : Thread.ExtendTime
21:36.118   15                 7         7    :   :   :   :   :   Thread.RunningThread
21:36.118   15              2325      2325    :   :   :   :   : SysThreadStack.Display
21:36.120   15               905         6    :   :   : Thread.TrapHandler
21:36.120   15                24         5    :   :   :   Orphans.ExitNow
21:36.120   15                 9         6    :   :   :   : MutexGuard.ctor
21:36.120   15                 3         3    :   :   :   :   SysMutex.Acquire
21:36.120   15                10         4    :   :   :   : MutexGuard.dtor
21:36.120   15                 4         4    :   :   :   :   SysMutex.Release
21:36.120   15                 2         2    :   :   :   :   Thread.RunningThread
21:36.120   15               875         4    :   :   :   Thread.Pause (msecs=0)
21:36.120   15                 3         3    :   :   :   : Thread.RunningThread
21:36.120   15               868         6    :   :   :   : Thread.EnterBlockingOperation
21:36.120   15                 1         1    :   :   :   :   Thread.RunningThread
21:36.120   15  -lock        850         3    :   :   :   :   Thread.Unlock
21:36.120   15                15        15    :   :   :   :   : Thread.LogContextSwitch
21:36.120   15                 3         3    :   :   :   :   :   : SysMutex.Acquire
21:36.121   15                 3         3    :   :   :   :   :   : SysMutex.Release
21:36.121   15               832       832    :   :   :   :   : SysMutex.Release
21:36.121   15                11         6    :   :   :   :   SysMutex.Acquire
21:36.121   15                 5         5    :   :   :   :   : Thread.InitialMsecs
21:36.121   15                 0         0    :   :   :   :   : ThreadAdmin.WarpFactor
21:36.121   15  +lock          5         0    :   :   :   Thread.Pause
21:36.121   15                 5         4    :   :   :   : Thread.ExitBlockingOperation
21:36.121   15                 1         1    :   :   :   :   Thread.ResumeLocked
21:36.121   15                 3         3    :   :   :   Thread.Pause (interrupted)
21:36.121   15                 5         5    :   :   :   Thread.SetSignal
21:36.121   15               189       189    :   :   :   Log.Create
