START OF TRACE: 19-Sep-2017 12:22:10.994 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
22:17.981   15             31051     31051    :   RecoveryTestThread.LoopForever
22:18.012   15             28284     28284    :   RecoveryTestThread.LoopForever
22:18.040   15             27595     27595    :   RecoveryTestThread.LoopForever
22:18.068   15             27101     27101    :   RecoveryTestThread.LoopForever
22:18.095   15             27319     27319    :   RecoveryTestThread.LoopForever
22:18.122   15             26925     26925    :   RecoveryTestThread.LoopForever
22:18.149   15             27104     27104    :   RecoveryTestThread.LoopForever
22:18.176   15             29344     29344    :   RecoveryTestThread.LoopForever
22:18.205   15             29483     29483    :   RecoveryTestThread.LoopForever
22:18.235   15             27861     27861    :   RecoveryTestThread.LoopForever
22:18.263   15             27459     27459    :   RecoveryTestThread.LoopForever
22:18.290   15             27336     27336    :   RecoveryTestThread.LoopForever
22:18.318   15             27455     27455    :   RecoveryTestThread.LoopForever
22:18.345   15             27449     27449    :   RecoveryTestThread.LoopForever
22:18.373   15             27077     27077    :   RecoveryTestThread.LoopForever
22:18.400   15             29636     29636    :   RecoveryTestThread.LoopForever
22:18.429   15             30190     30190    :   RecoveryTestThread.LoopForever
22:18.459   15             27791     27791    :   RecoveryTestThread.LoopForever
22:18.487   15             27347     27347    :   RecoveryTestThread.LoopForever
22:18.515   15             27440     27440    :   RecoveryTestThread.LoopForever
22:18.542   15             26983     26983    :   RecoveryTestThread.LoopForever
22:18.569   15             26838     26838    :   RecoveryTestThread.LoopForever
22:18.596   15             27075     27075    :   RecoveryTestThread.LoopForever
22:18.623   15             30242     30242    :   RecoveryTestThread.LoopForever
22:18.653   15             29332     29332    :   RecoveryTestThread.LoopForever
22:18.682   15             26961     26961    :   RecoveryTestThread.LoopForever
22:18.709   15             27167     27167    :   RecoveryTestThread.LoopForever
22:18.737   15             27407     27407    :   RecoveryTestThread.LoopForever
22:18.764   15             27171     27171    :   RecoveryTestThread.LoopForever
22:18.791   15             27053     27053    :   RecoveryTestThread.LoopForever
22:18.818   15             27135     27135    :   RecoveryTestThread.LoopForever
22:18.845   15             31452     31452    :   RecoveryTestThread.LoopForever
22:18.877   15             28322     28322    :   RecoveryTestThread.LoopForever
22:18.905   15             27218     27218    :   RecoveryTestThread.LoopForever
22:18.932   15             26702     26702    :   RecoveryTestThread.LoopForever
22:18.959   15             27303     27303    :   RecoveryTestThread.LoopForever
22:18.986   15             26840     26840    :   RecoveryTestThread.LoopForever
22:19.013   15             26851     26851    :   RecoveryTestThread.LoopForever
22:19.040   15             28878     28878    :   RecoveryTestThread.LoopForever
22:19.069   15             29685     29685    :   RecoveryTestThread.LoopForever
22:19.099   15             27353     27353    :   RecoveryTestThread.LoopForever
22:19.126   15             27036     27036    :   RecoveryTestThread.LoopForever
22:19.153   15             26748     26748    :   RecoveryTestThread.LoopForever
22:19.180   15             26908     26908    :   RecoveryTestThread.LoopForever
22:19.207   15             27172     27172    :   RecoveryTestThread.LoopForever
22:19.234   15             26883     26883    :   RecoveryTestThread.LoopForever
22:19.261   15             29635     29635    :   RecoveryTestThread.LoopForever
22:19.290   15             29632     29632    :   RecoveryTestThread.LoopForever
22:19.320   15             27120     27120    :   RecoveryTestThread.LoopForever
22:19.347   15             27374     27374    :   RecoveryTestThread.LoopForever
22:19.374   15             27331     27331    :   RecoveryTestThread.LoopForever
22:19.402   15             26876     26876    :   RecoveryTestThread.LoopForever
22:19.429   15             26930     26930    :   RecoveryTestThread.LoopForever
22:19.456   15             31851     31851    :   RecoveryTestThread.LoopForever
22:19.487   15             33983     33983    :   RecoveryTestThread.LoopForever
22:19.521   15             32109     32109    :   RecoveryTestThread.LoopForever
22:19.554   15             27478     27478    :   RecoveryTestThread.LoopForever
22:19.581   15             27013     27013    :   RecoveryTestThread.LoopForever
22:19.608   15             33571     33571    :   RecoveryTestThread.LoopForever
22:19.642   15             33857     33857    :   RecoveryTestThread.LoopForever
22:19.675   15             27214     27214    :   RecoveryTestThread.LoopForever
22:19.703   15             30197     30197    :   RecoveryTestThread.LoopForever
22:19.733   15             29020     29020    :   RecoveryTestThread.LoopForever
22:19.762   15             27467     27467    :   RecoveryTestThread.LoopForever
22:19.789   15             26989     26989    :   RecoveryTestThread.LoopForever
22:19.816   15             27027     27027    :   RecoveryTestThread.LoopForever
22:19.843   15             27090     27090    :   RecoveryTestThread.LoopForever
22:19.870   15             26996     26996    :   RecoveryTestThread.LoopForever
22:19.897   15             27136     27136    :   RecoveryTestThread.LoopForever
22:19.925   15             31385     31385    :   RecoveryTestThread.LoopForever
22:19.956   15             30048     30048    :   RecoveryTestThread.LoopForever
22:19.986   15             27730     27730    :   RecoveryTestThread.LoopForever
22:20.014   15             27309     27309    :   RecoveryTestThread.LoopForever
22:20.041   15             27042     27042    :   RecoveryTestThread.LoopForever
22:20.068   15             27017     27017    :   RecoveryTestThread.LoopForever
22:20.095   15             26890     26890    :   RecoveryTestThread.LoopForever
22:20.122   15             26690     26690    :   RecoveryTestThread.LoopForever
22:20.149   15             29941     29941    :   RecoveryTestThread.LoopForever
22:20.179   15             28360     28360    :   RecoveryTestThread.LoopForever
22:20.207   15             27324     27324    :   RecoveryTestThread.LoopForever
22:20.234   15             26956     26956    :   RecoveryTestThread.LoopForever
22:20.261   15             27275     27275    :   RecoveryTestThread.LoopForever
22:20.289   15             26967     26967    :   RecoveryTestThread.LoopForever
22:20.316   15             27162     27162    :   RecoveryTestThread.LoopForever
22:20.343   15             27313     27313    :   RecoveryTestThread.LoopForever
22:20.370   15             32548     32548    :   RecoveryTestThread.LoopForever
22:20.403   15             27752     27752    :   RecoveryTestThread.LoopForever
22:20.430   15             28550     28550    :   RecoveryTestThread.LoopForever
22:20.459   15             27520     27520    :   RecoveryTestThread.LoopForever
22:20.486   15             27346     27346    :   RecoveryTestThread.LoopForever
22:20.514   15             26801     26801    :   RecoveryTestThread.LoopForever
22:20.541   15             27115     27115    :   RecoveryTestThread.LoopForever
22:20.568   15             28643     28643    :   RecoveryTestThread.LoopForever
22:20.596   15             29980     29980    :   RecoveryTestThread.LoopForever
22:20.626   15             27892     27892    :   RecoveryTestThread.LoopForever
22:20.654   15             26865     26865    :   RecoveryTestThread.LoopForever
22:20.681   15             27046     27046    :   RecoveryTestThread.LoopForever
22:20.708   15             26900     26900    :   RecoveryTestThread.LoopForever
22:20.735   15             26880     26880    :   RecoveryTestThread.LoopForever
22:20.762   15             26980     26980    :   RecoveryTestThread.LoopForever
22:20.789   15             28847     28847    :   RecoveryTestThread.LoopForever
22:20.818   15             30194     30194    :   RecoveryTestThread.LoopForever
22:20.848   15             27579     27579    :   RecoveryTestThread.LoopForever
22:20.875   15             27436     27436    :   RecoveryTestThread.LoopForever
22:20.903   15             27018     27018    :   RecoveryTestThread.LoopForever
22:20.930   15             27392     27392    :   RecoveryTestThread.LoopForever
22:20.957   15             27293     27293    :   RecoveryTestThread.LoopForever
22:20.985   15             27070     27070    :   RecoveryTestThread.LoopForever
22:21.012   15             29842     29842    :   RecoveryTestThread.LoopForever
22:21.042   15             29907     29907    :   RecoveryTestThread.LoopForever
22:21.071   15             27246     27246    :   RecoveryTestThread.LoopForever
22:21.099   15             27897     27897    :   RecoveryTestThread.LoopForever
22:21.127   15             27371     27371    :   RecoveryTestThread.LoopForever
22:21.154   15             27311     27311    :   RecoveryTestThread.LoopForever
22:21.181   15             27423     27423    :   RecoveryTestThread.LoopForever
22:21.209   15             27387     27387    :   RecoveryTestThread.LoopForever
22:21.236   15             31045     31045    :   RecoveryTestThread.LoopForever
22:21.267   15             29153     29153    :   RecoveryTestThread.LoopForever
22:21.296   15             27767     27767    :   RecoveryTestThread.LoopForever
22:21.324   15             27387     27387    :   RecoveryTestThread.LoopForever
22:21.351   15             27474     27474    :   RecoveryTestThread.LoopForever
22:21.379   15             27663     27663    :   RecoveryTestThread.LoopForever
22:21.407   15             27655     27655    :   RecoveryTestThread.LoopForever
22:21.434   15             27035     27035    :   RecoveryTestThread.LoopForever
22:21.461   15             31896     31896    :   RecoveryTestThread.LoopForever
22:21.493   15             30361     30361    :   RecoveryTestThread.LoopForever
22:21.524   15             29985     29985    :   RecoveryTestThread.LoopForever
22:21.554   15             28387     28387    :   RecoveryTestThread.LoopForever
22:21.582   15             28559     28559    :   RecoveryTestThread.LoopForever
22:21.610   15             30094     30094    :   RecoveryTestThread.LoopForever
22:21.641   15             29907     29907    :   RecoveryTestThread.LoopForever
22:21.670   15             37486     37486    :   RecoveryTestThread.LoopForever
22:21.708   15             31821     31821    :   RecoveryTestThread.LoopForever
22:21.740   15             30627     30627    :   RecoveryTestThread.LoopForever
22:21.770   15             28271     28271    :   RecoveryTestThread.LoopForever
22:21.799   15             27926     27926    :   RecoveryTestThread.LoopForever
22:21.827   15             27232     27232    :   RecoveryTestThread.LoopForever
22:21.854   15             28468     28468    :   RecoveryTestThread.LoopForever
22:21.882   15             30969     30969    :   RecoveryTestThread.LoopForever
22:21.913   15             29480     29480    :   RecoveryTestThread.LoopForever
22:21.943   15             28741     28741    :   RecoveryTestThread.LoopForever
22:21.971   15             27828     27828    :   RecoveryTestThread.LoopForever
22:21.999   15             28434     28434    :   RecoveryTestThread.LoopForever
22:22.028   15             28422     28422    :   RecoveryTestThread.LoopForever
22:22.056   15             27539     27539    :   RecoveryTestThread.LoopForever
22:22.084   15             29528     29528    :   RecoveryTestThread.LoopForever
22:22.113   15             31394     31394    :   RecoveryTestThread.LoopForever
22:22.145   15             28780     28780    :   RecoveryTestThread.LoopForever
22:22.173   15             27281     27281    :   RecoveryTestThread.LoopForever
22:22.201   15             27949     27949    :   RecoveryTestThread.LoopForever
22:22.229   15             27663     27663    :   RecoveryTestThread.LoopForever
22:22.256   15             27269     27269    :   RecoveryTestThread.LoopForever
22:22.284   15             27945     27945    :   RecoveryTestThread.LoopForever
22:22.312   15             29972     29972    :   RecoveryTestThread.LoopForever
22:22.341   15             29551     29551    :   RecoveryTestThread.LoopForever
22:22.371   15             27262     27262    :   RecoveryTestThread.LoopForever
22:22.398   15             27289     27289    :   RecoveryTestThread.LoopForever
22:22.426   15             26910     26910    :   RecoveryTestThread.LoopForever
22:22.453   15             26829     26829    :   RecoveryTestThread.LoopForever
22:22.479   15             27297     27297    :   RecoveryTestThread.LoopForever
22:22.507   15             27297     27297    :   RecoveryTestThread.LoopForever
